,intra,extra,az,el,rot_pos,x,y,z,u,v,w,m1_pressure,4,5,6,7,8,9,10,11,12,13
1,1579833109-HD82741_intra-0-1,1579833147-HD82741_extra-0-1,-55.87579921,77.82551323,-73.70514966,-4.35,0.1,0.518,0.35,0.35,0,124226.8286,387.9087067,42.54936562,-26.75975937,12.93748035,-16.19195529,-70.19003576,11.82668008,-23.60101438,-15.83124181,1
2,1579833201-HD82741_intra-0-1,1579833238-HD82741_extra-0-1,-56.94936775,77.53726364,-73.10085113,-4.35,0.1,0.518,0.35,0.35,0,124188.8626,295.1577957,18.61790045,-33.19034118,6.949709032,1.712954113,-75.717495,-13.59082509,-13.51315857,-10.20472259,1
3,1579833798-HD82741_intra-0-1,1579833836-HD82741_extra-0-1,-62.77259721,75.65947596,-80.04079221,-4.35,0.1,0.418,0.35,0.35,0,122930.7429,-91.09400059,-56.38959838,-35.64638736,14.9016058,-12.23841487,-57.47592349,50.41579278,-15.41663725,-13.25097505,1
4,1579834188-HD82741_intra-0-1,1579834225-HD82741_extra-0-1,-65.86063992,74.39346969,-78.957261,-4.35,0.1,0.458,0.35,0.35,0,122449.942,60.7115202,-50.76904825,-75.77794453,5.044189598,6.287227517,-26.02489983,26.88928861,-6.781275131,0.878401312,1
5,1579836061-HD82741_intra-0-1,1579836103-HD82741_extra-0-1,-76.26246679,67.98770112,-73.606651,-4.35,0.1,0.442816329,0.35,0.35,0,117537.066,-142.0979492,119.7761143,7.055464614,35.71180963,-8.253352085,-51.17770516,28.91825846,-6.268934462,-3.453250343,1
6,1579836171-HD82741_intra-0-1,1579836214-HD82741_extra-0-1,-76.72101361,67.60173139,-73.74698346,-4.35,0.1,0.443201969,0.35,0.35,0,116817.9859,-56.01121263,8.59387506,41.35191343,38.70245768,-4.131940994,-48.38125961,47.85032667,-2.870700002,1.110751026,1
7,1579836591-HD82741_intra-0-1,1579836634-HD82741_extra-0-1,-78.37742125,66.11460118,-74.39714604,-4.35,0.1,0.459069522,0.35,0.35,0,115688.233,-73.02403266,-16.37959295,-5.910795126,13.03621152,-9.136316501,-59.83441725,20.4489738,-26.74088926,3.326056446,1
8,1579836965-HD82741_intra-0-1,1579837038-HD82741_extra-0-1,-79.8287712,64.68900955,-69.87840941,-4.35,0.1,0.432068968,0.35,0.35,0,114200.9055,-259.2261792,66.25420228,6.992660393,37.11730449,2.625298294,-25.03750251,23.24092513,-20.55012656,-2.726114455,1
9,1579837309-HD82741_intra-0-1,1579837381-HD82741_extra-0-1,-80.97931486,63.46626894,-67.83589883,-4.35,0.1,0.509084193,0.35,0.35,0,112716.5121,125.7469488,34.10799187,47.66852094,46.02610837,7.021683922,-32.38876995,35.31258905,0.957133208,-1.374108528,1
10,1579837731-HD82741_intra-0-1,1579837800-HD82741_extra-0-1,-82.29195691,61.96773735,-59.49828938,-4.35,0.1,0.434733024,0.35,0.35,0,110931.3816,-222.1937927,47.53512377,-96.06656698,27.4011239,21.62693987,-41.19082834,58.16257607,-8.669613681,-7.536036491,1
11,1579839060-ksiPup_intra-0-1,1579839133-ksiPup_extra-0-1,22.03548605,84.36072001,-81.58573968,-4.35,0.1,0.432813915,0.35,0.35,0,126502.1074,-23.9359484,-119.2159723,-48.42321034,83.86449472,3.48695883,-108.7116536,-5.079547755,14.51136807,-0.710650674,1
12,1579840238-ksiPup_intra-0-1,1579840282-ksiPup_extra-0-1,-22.33852545,84.35622947,-60.07440391,-5.038108802,0.047614932,0.432808897,0.35,0.35,0,126649.8863,-36.72263376,-31.48695656,-22.88563114,-30.83699658,31.65681149,-56.47793423,-79.25040127,-24.17224451,-7.199196789,1
13,1579840712-ksiPup_intra-0-1,1579840756-ksiPup_extra-0-1,-37.41481222,83.48342587,-81.08198534,-5.038108802,0.04915504,0.433031613,0.35,0.35,0,126412.8673,-72.13817256,-18.10175154,76.60051336,-37.22449792,31.61955618,-50.16451209,2.890693245,4.299429346,-14.67014867,1
14,1579841085-ksiPup_intra-0-1,1579841129-ksiPup_extra-0-1,-46.30254464,82.58779155,-83.03155715,-5.038108802,0.051020252,0.450010122,0.35,0.35,0,126357.3442,2.744667066,37.68984378,-16.48059871,-43.58125683,21.77658396,-76.45632856,28.56138431,23.80561015,-2.650873239,1
15,1579841382-ksiPup_intra-0-1,1579841426-ksiPup_extra-0-1,-51.99831882,81.77594322,-78.72562612,-5.038108802,0.052935221,0.450281075,0.35,0.35,0,126001.353,107.9794458,-25.28842777,75.51351538,-15.94658526,50.89722662,-22.86238104,25.26942001,36.75204696,-11.19419904,1
16,1579841532-ksiPup_intra-0-1,1579841576-ksiPup_extra-0-1,-54.47610433,81.34322026,-76.97175094,-5.038108802,0.054053107,0.450437855,0.35,0.35,0,126662.5623,-46.64571227,21.9111868,-53.14316572,-70.88823367,38.61326442,-70.6628426,19.3764383,1.816449688,0.192583103,1
17,1579841642-ksiPup_intra-0-1,1579841686-ksiPup_extra-0-1,-56.15025472,81.0174521,-75.83699894,-5.038108802,0.05493791,0.450561237,0.35,0.35,0,127465.6341,18.66805533,54.59855465,-104.4503687,-36.31592441,23.88323216,-52.72360121,28.42633177,-28.15812694,-4.126750032,1
18,1579841797-ksiPup_intra-0-1,1579841841-ksiPup_extra-0-1,-58.36710259,80.54494504,-84.99194796,-5.038108802,0.056299537,0.450749917,0.35,0.35,0,128311.2855,102.698096,-74.68746516,-70.91351633,-37.61619015,-16.46740957,-39.13850271,-7.794079248,-14.4176478,-2.243229337,1
19,1579841987-ksiPup_intra-0-1,1579842031-ksiPup_extra-0-1,-60.84461545,79.96040984,-83.4707411,-5.038108802,0.058082455,0.450994846,0.35,0.35,0,129226.0674,385.0337124,-46.72933314,-12.57068885,20.24276664,-67.70165898,-55.48446575,3.248432415,17.12327935,-11.317314,1
20,1579842198-ksiPup_intra-0-1,1579842242-ksiPup_extra-0-1,-63.24298582,79.30581297,-82.13206041,-5.038108802,0.060253919,0.451290006,0.35,0.35,0,130019.3403,803.4992141,-1.031077992,-20.42635648,96.08340805,-53.07790619,-88.25319011,-4.838318648,0.186503135,-8.837524861,1
21,1579842478-ksiPup_intra-0-1,1579842523-ksiPup_extra-0-1,-65.94711903,78.37347772,-80.90982741,-5.038108802,0.063628989,0.451742229,0.35,0.35,0,123556.3076,-44.88994102,28.7203428,12.4837279,1.947215565,52.11265081,-59.62614198,-10.27030551,-1.334206759,-1.818201602,1
22,1579842619-ksiPup_intra-0-1,1579842663-ksiPup_extra-0-1,-67.22780171,77.88304098,-80.40630884,-5.038108802,0.065426601,0.45197999,0.35,0.35,0,122335.793,18.16048354,-6.718229165,16.73476252,-29.1050398,27.82241633,-40.92146597,-3.546286727,-3.684372765,1.836737273,1
23,1579842744-ksiPup_intra-0-1,1579842788-ksiPup_extra-0-1,-68.20564973,77.48856506,-80.05329726,-5.038108802,0.067122056,0.452202347,0.35,0.35,0,121125.9595,-100.5485786,-54.59138406,-9.108529253,-26.4677863,12.16353549,-53.20070335,-14.03731576,-3.799449737,3.457183097,1
24,1579842868-ksiPup_intra-0-1,1579842912-ksiPup_extra-0-1,-69.18940567,77.06873995,-79.7346941,-5.038108802,0.06891028,0.452434942,0.35,0.35,0,119829.9737,-126.8652261,69.69149375,78.70051734,13.55905808,9.010972812,-57.04549153,9.444649687,-1.82613136,-4.662816572,1
25,1579842988-ksiPup_intra-0-1,1579843032-ksiPup_extra-0-1,-70.10336537,76.6545102,-79.47338788,-5.038108802,0.070708112,0.452666851,0.35,0.35,0,118605.1759,-88.65564229,100.9165136,87.82752915,-27.19317216,75.84453892,-40.91812715,-34.84209274,-0.788383816,-9.995261834,1
26,1579843128-ksiPup_intra-0-1,1579843172-ksiPup_extra-0-1,-71.06558061,76.19014373,-79.24281117,-5.038108802,0.072925386,0.452950283,0.35,0.35,0,123243.643,29.05234044,-69.77852923,27.6226106,-10.22245839,27.53389898,-65.63261943,0.612698024,19.80728725,-3.860212483,1
27,1579843990-tau02Hya_intra-0-1,1579844035-tau02Hya_extra-0-1,15.36090184,60.23369964,-63.06137337,-5.038108802,0.229599229,0.452266996,0.35,0.35,0,108763.6246,-232.6404364,41.19926503,65.84409353,-18.23992722,40.69015732,-31.46354263,16.17417671,-28.82264115,3.726449149,1
28,1579844238-tau02Hya_intra-0-1,1579844282-tau02Hya_extra-0-1,13.32267186,60.45703224,-61.09118316,-5.038108802,0.225950687,0.396776879,0.35,0.35,0,109052.6417,-476.3591978,61.28461729,54.32432183,-27.08516466,41.43855628,-33.62429314,65.36334172,-19.31583031,-16.44142806,1
29,1579844477-tau02Hya_intra-0-1,1579844521-tau02Hya_extra-0-1,11.33123463,60.64039843,-59.19729179,-5.038108802,0.222986385,0.506858073,0.35,0.35,0,109276.2382,2.884574053,95.19593242,68.05164966,10.10664072,44.7908505,-44.16269567,49.51511513,2.218205257,10.03940933,1
30,1579844897-tau02Hya_intra-0-1,1579844941-tau02Hya_extra-0-1,7.78627999,60.90071126,-64.67004847,-5.038108802,0.218832631,0.506491008,0.35,0.35,0,104610.8638,-163.8048381,-67.12379091,100.1847051,7.644899481,51.77342673,14.29663097,47.49815005,11.12204223,5.831223592,1
31,1579845024-tau02Hya_intra-0-1,1579845068-tau02Hya_extra-0-1,6.708569456,60.95919368,-63.68217367,-5.038108802,0.217910027,0.506409172,0.35,0.35,0,105621.9149,-209.8331821,-31.01781685,6.034220676,-1.014130458,55.64938508,-36.63291999,26.03290269,1.624243561,-1.736658358,1
32,1579845145-tau02Hya_intra-0-1,1579845185-tau02Hya_extra-0-1,5.691431925,61.00641663,-62.75726076,-5.038108802,0.2171604,0.506342595,0.35,0.35,0,106670.0879,-189.4961016,110.9446681,-22.53061559,-9.057624576,38.08092589,-19.36869374,47.20888964,-6.40405205,6.831841197,1
33,1579845322-tau02Hya_intra-0-1,1579845363-tau02Hya_extra-0-1,4.173622187,61.06256163,-61.39070009,-5.038108802,0.216271783,0.506263577,0.35,0.35,0,107739.2115,-185.4564827,100.1385415,30.53508064,-12.27717548,23.00036056,-57.97367212,42.20203977,5.225928387,-0.572982546,1
34,1579845455-tau02Hya_intra-0-1,1579845499-tau02Hya_extra-0-1,3.012850282,61.09399746,-60.35663411,-5.038108802,0.215777891,0.506219613,0.35,0.35,0,108624.0117,-148.3406735,20.27655411,40.33913375,-6.110054322,44.27668344,-63.10172441,20.14801213,-6.344376999,-21.68674517,1
35,1579845622-tau02Hya_intra-0-1,1579845667-tau02Hya_extra-0-1,1.570072838,61.1193219,-59.08472837,-5.038108802,0.215372521,0.506183505,0.35,0.35,0,109919.3484,-172.5374209,-11.19300383,-43.97063756,-20.64152021,65.08851515,-35.28909078,5.605942339,-5.027173281,21.72973057,1
36,1579845940-tau02Hya_intra-0-1,1579845984-tau02Hya_extra-0-1,-1.173752278,61.12164314,-64.96770709,-5.038108802,0.215330036,0.546924739,0.35,0.35,0,109921.6549,44.53926136,19.58118681,11.83492504,-26.58651764,22.06587913,-69.8928402,84.29350788,8.786143639,-2.508489605,1
37,1579846161-tau02Hya_intra-0-1,1579846201-tau02Hya_extra-0-1,-3.054594345,61.09312913,-63.37799501,-5.038108802,0.215746746,0.54696186,0.35,0.35,0,110704.6752,161.9515434,-13.65024656,-3.552728654,-52.15241436,32.57005646,-1.720578922,22.7718055,-19.78484481,4.519218225,1
38,1579846299-tau02Hya_intra-0-1,1579846343-tau02Hya_extra-0-1,-4.212286062,61.06159493,-62.40952334,-5.038108802,0.216255223,0.547007123,0.35,0.35,0,111787.7304,117.0459285,-17.41547791,-77.55646162,-30.67998793,63.39602762,-30.91827105,19.02810703,0.991221856,13.26477808,1
39,1579846639-tau02Hya_intra-0-1,1579846683-tau02Hya_extra-0-1,-7.171590868,60.94038616,-59.97642577,-5.038108802,0.218093953,0.547170515,0.35,0.35,0,113906.1989,442.3397513,78.27012185,-76.74398459,-46.41100258,45.43723573,-19.29145547,24.81683185,21.82160037,33.3251408,1
40,1579846780-tau02Hya_intra-0-1,1579846824-tau02Hya_extra-0-1,-8.371414382,60.88295923,-59.03330629,-5.038108802,0.218981683,0.547249239,0.35,0.35,0,114719.3265,816.0147194,101.0948002,-2.527297334,-31.22417966,27.79398769,-34.3973891,43.32644067,13.79577566,13.40349123,1
41,1579847022-tau02Hya_intra-0-1,1579847067-tau02Hya_extra-0-1,-10.40933679,60.74296661,-57.38401446,-5.038108802,0.221202184,0.35168831,0.35,0.35,0,114600.7231,-18.3200829,-33.7448561,108.9476934,16.70652026,29.42233494,-74.60955084,37.8726492,-23.07503504,-26.90452015,1
42,1579847979-etaLeo_intra-0-1,1579848020-etaLeo_extra-0-1,-0.317029984,43.18199759,-46.7177477,-5.038108802,0.699897488,0.485845105,0.35,0.35,0,83385.5237,-330.6305403,229.9070944,-71.39125968,-19.17102887,57.73084135,53.11160262,65.68774504,12.87674301,16.59387146,1
43,1579848220-etaLeo_intra-0-1,1579848261-etaLeo_extra-0-1,-1.631906119,43.16835057,-45.54543192,-5.038108802,0.70042567,0.56418922,0.35,0.35,0,83334.01032,120.195897,155.4598206,5.60047514,-74.97369499,62.3924796,-32.42574526,67.77577768,9.351635625,5.034820795,1
44,1579848438-etaLeo_intra-0-1,1579848483-etaLeo_extra-0-1,-2.825425479,43.13891189,-44.49851311,-5.038108802,0.701626095,0.535406608,0.35,0.35,0,83327.80844,-15.14373705,167.2958646,97.96051588,-79.66074378,55.9448685,-56.79035234,47.98554479,5.798978584,-1.257365707,1
45,1579849059-etaLeo_intra-0-1,1579849104-etaLeo_extra-0-1,-6.245938693,42.96504496,-41.58906451,-5.038108802,0.708685049,0.535843976,0.35,0.35,0,81062.47073,-31.19658482,40.40233454,156.7544992,-57.79405413,62.11835461,-35.58992294,32.50588411,10.85841469,6.416630201,1
46,1579849322-etaLeo_intra-0-1,1579849366-etaLeo_extra-0-1,-7.67081709,42.86054092,-40.41050267,-5.038108802,0.713032431,0.536112729,0.35,0.35,0,78967.96176,-309.6503102,109.0845365,95.23071868,-10.69049096,-23.59480952,-30.94056622,68.33609218,5.946772201,0.495513646,1
47,1579849576-etaLeo_intra-0-1,1579849620-etaLeo_extra-0-1,-9.042813597,42.72886032,-39.30716104,-5.038108802,0.718515948,0.610367022,0.35,0.35,0,78983.21188,37.04194453,86.5148137,58.80817262,-16.90337183,14.96822704,-60.40909072,46.72422542,0.71715276,-9.870094348,1
48,1579849940-etaLeo_intra-0-1,1579849971-etaLeo_extra-0-1,-10.94808008,42.49712679,-45.60715499,-5.038108802,0.729023971,0.611013369,0.35,0.35,0,82240.61929,191.7567419,99.82174522,67.54262025,-61.00046576,85.76773667,-40.36984196,94.31123454,58.15222694,-9.1671393,1
49,1579850144-etaLeo_intra-0-1,1579850175-etaLeo_extra-0-1,-12.0698114,42.34455884,-45.31090613,-5.038108802,0.735260428,0.611395742,0.35,0.35,0,82292.00027,72.31943571,153.4093004,-83.69745181,-40.37088722,131.0867483,-48.51365368,87.88374976,55.11577043,-3.961794097,1
50,1579850604-etaLeo_intra-0-1,1579850645-etaLeo_extra-0-1,-14.50418976,41.96396978,-43.50692679,-5.038108802,0.752160105,2.112427402,0.35,0.35,0,83197.72207,422.6081315,3.314088903,22.95125092,-77.27076784,45.03554313,-22.84445598,27.20163857,2.068881974,-2.637190959,1
51,1579850788-etaLeo_intra-0-1,1579850828-etaLeo_extra-0-1,-15.4413891,41.79745233,-42.83362637,-5.038108802,0.759521853,2.011778285,0.35,0.35,0,82929.11394,40.84809987,-13.746238,30.26906026,-90.5850018,73.86136753,-29.74427452,56.00735081,2.007114484,-2.684626051,1
52,1579851033-etaLeo_intra-0-1,1579851073-etaLeo_extra-0-1,-16.70512231,41.56204877,-41.93836348,-5.038108802,0.77000289,2.012413184,0.35,0.35,0,84450.42426,411.4050632,77.44467924,24.57003718,-46.01458792,71.92136231,-28.04775821,63.7356039,26.04858642,-20.14453793,1
53,1579851156-etaLeo_intra-0-1,1579851196-etaLeo_extra-0-1,-17.35634153,41.429225,-41.48881344,-5.038108802,0.775779746,2.012762103,0.35,0.35,0,84312.40861,436.0786222,66.87084892,30.32660621,-36.31698449,56.35784933,-21.6623397,46.96118266,3.409595394,-8.494448223,1
54,1579851396-etaLeo_intra-0-1,1579851436-etaLeo_extra-0-1,-18.57283034,41.16537373,-40.665924,-5.038108802,0.787734221,1.908729106,0.35,0.35,0,84156.02806,107.7102383,112.9451367,-19.92994246,-2.904684228,64.16047183,-29.33449478,71.51973419,-1.613983252,-1.593958895,1
55,1579851583-etaLeo_intra-0-1,1579851623-etaLeo_extra-0-1,-19.53298813,40.94299668,-40.03166248,-5.038108802,0.797567598,1.883895642,0.35,0.35,0,83489.31524,-104.2124148,-5.983119377,56.23455475,-40.70843122,38.48037664,-4.752194424,55.07178521,14.55011396,-19.45217699,1
56,1579851723-etaLeo_intra-0-1,1579851764-etaLeo_extra-0-1,-20.22230673,40.77547721,-39.58480575,-5.038108802,0.805446438,1.884366792,0.35,0.35,0,82993.3837,-79.40579481,62.88572773,100.2358941,-48.34577665,33.74124957,-7.847703533,66.90754277,9.294918666,-6.939847912,1
57,1579851935-etaLeo_intra-0-1,1579851975-etaLeo_extra-0-1,-21.2807561,40.50531648,-38.91269791,-5.038108802,0.817867522,1.903681136,0.35,0.35,0,82542.13178,16.34673224,55.77067173,21.22963081,-58.56052204,55.50523548,-38.35502053,48.08530224,5.505281663,-4.528692037,1